============================================================
  Generated by:           Encounter(R) RTL Compiler v09.10-p104_1
  Generated on:           Apr 24 2015  08:48:31 PM
  Module:                 ROUTER
  Technology libraries:   525_Lab 
                          physical_cells 
  Operating conditions:   typical 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                               Leakage     Dynamic       Total    
       Instance        Cells  Power(nW)   Power(nW)    Power(nW)  
------------------------------------------------------------------
ROUTER                  5311 5763071.186 4617184.743 10380255.929 
  f1                     921 1088938.800  846449.339  1935388.139 
    _west                 93  153003.778  156965.233   309969.011 
      RC_CG_HIER_INST5     6    3547.589   35102.378    38649.967 
    _south                92  147224.389  164946.413   312170.802 
      RC_CG_HIER_INST4     6    3547.589   36444.613    39992.202 
    _north                92  145289.375  146821.763   292111.138 
      RC_CG_HIER_INST3     6    3547.589   34023.450    37571.039 
    _east                 92  132338.690  131638.493   263977.183 
      RC_CG_HIER_INST1     6    3581.890   25021.674    28603.564 
    _local                91  131493.056   91183.150   222676.206 
      RC_CG_HIER_INST2     6    3547.589   23097.750    26645.339 
    mux0                  60   59000.401   22890.496    81890.897 
    mux3                  61   54661.691   24513.696    79175.387 
    mux1                  47   50967.455   28672.671    79640.126 
    mux2                  54   49225.551   22011.179    71236.730 
    mux4                  50   43789.463   18393.507    62182.970 
  nl                     815  885705.634  706311.835  1592017.469 
    RC_CG_HIER_INST34      7    3916.974   13504.603    17421.577 
    RC_CG_HIER_INST35      7    3482.437   14392.349    17874.786 
    RC_CG_HIER_INST26      7    3295.923   13402.700    16698.623 
    RC_CG_HIER_INST30      7    3295.923   10625.208    13921.131 
    RC_CG_HIER_INST27      5    3220.892   10964.883    14185.775 
    RC_CG_HIER_INST28      5    3220.892   10722.009    13942.901 
    RC_CG_HIER_INST29      5    3220.892   10860.111    14081.003 
    RC_CG_HIER_INST31      5    3220.892   10552.638    13773.530 
    RC_CG_HIER_INST32      5    3220.892   10790.389    14011.281 
    RC_CG_HIER_INST33      5    3220.892   10760.863    13981.755 
  nf                     739  773038.025  704401.140  1477439.165 
    RC_CG_HIER_INST24      7    3916.974   14002.902    17919.876 
    RC_CG_HIER_INST25      7    3516.738   13678.026    17194.764 
    RC_CG_HIER_INST16      7    3295.923   13314.807    16610.730 
    RC_CG_HIER_INST20      7    3295.923   10994.641    14290.564 
    RC_CG_HIER_INST17      5    3220.892   10638.249    13859.141 
    RC_CG_HIER_INST18      5    3220.892   10676.273    13897.165 
    RC_CG_HIER_INST19      5    3220.892   10826.022    14046.914 
    RC_CG_HIER_INST21      5    3220.892   10640.578    13861.470 
    RC_CG_HIER_INST22      5    3220.892   10820.853    14041.745 
    RC_CG_HIER_INST23      5    3220.892   10666.640    13887.532 
  ne                     679  639499.739  689448.503  1328948.242 
    RC_CG_HIER_INST14      7    3916.974   14682.621    18599.595 
    RC_CG_HIER_INST15      7    3516.738   14237.603    17754.341 
    RC_CG_HIER_INST10      7    3295.923   10994.380    14290.303 
    RC_CG_HIER_INST6       7    3295.923   13105.882    16401.805 
    RC_CG_HIER_INST11      5    3220.892   10729.219    13950.111 
    RC_CG_HIER_INST12      5    3220.892   10651.004    13871.896 
    RC_CG_HIER_INST13      5    3220.892   11013.942    14234.834 
    RC_CG_HIER_INST7       5    3220.892   10585.655    13806.547 
    RC_CG_HIER_INST8       5    3220.892   10792.750    14013.642 
    RC_CG_HIER_INST9       5    3220.892   11003.992    14224.884 
  ns                     698  623701.404  614228.176  1237929.580 
    RC_CG_HIER_INST45      7    3482.437   14002.294    17484.731 
    RC_CG_HIER_INST36      7    3295.923   12996.193    16292.116 
    RC_CG_HIER_INST37      5    3220.892   10546.852    13767.744 
    RC_CG_HIER_INST38      5    3220.892   10538.994    13759.886 
    RC_CG_HIER_INST39      5    3220.892   10837.026    14057.918 
    RC_CG_HIER_INST41      5    3220.892   10883.389    14104.281 
    RC_CG_HIER_INST42      5    3220.892   10989.017    14209.909 
    RC_CG_HIER_INST43      5    3220.892   10910.984    14131.876 
    RC_CG_HIER_INST44      6    3105.641   14060.397    17166.038 
    RC_CG_HIER_INST40      6    2884.826   10777.324    13662.150 
  nw                     618  574389.705  534671.983  1109061.688 
    RC_CG_HIER_INST54      7    3682.767   12609.368    16292.135 
    RC_CG_HIER_INST46      7    3330.224   13156.647    16486.871 
    RC_CG_HIER_INST50      7    3295.923   10552.328    13848.251 
    RC_CG_HIER_INST47      5    3220.892   10647.989    13868.881 
    RC_CG_HIER_INST48      5    3220.892   10539.357    13760.249 
    RC_CG_HIER_INST49      5    3220.892   10707.092    13927.984 
    RC_CG_HIER_INST51      5    3220.892   10786.845    14007.737 
    RC_CG_HIER_INST52      5    3220.892   10651.368    13872.260 
    RC_CG_HIER_INST53      5    3220.892   10642.928    13863.820 
    RC_CG_HIER_INST55      6    3071.340   13753.178    16824.518 
  arbit                  347  449955.412  144467.480   594422.892 
    a1                    16   31468.419    9404.688    40873.107 
    a3                    15   28206.121    6347.935    34554.056 
    a5                    16   26868.331    3113.658    29981.989 
    a4                    18   19257.002    6135.695    25392.697 
    a2                    13   13968.546    5255.910    19224.456 
  e                       87  136586.346   66325.541   202911.887 
  s                       86  133227.226   75773.421   209000.647 
  w                       88  117964.170   53488.378   171452.548 
  n                       79  114707.601   56795.879   171503.480 
  l                       87  101272.441   55465.160   156737.601 

